1,Vendémiaire,grape harvest
2,Brumaire,mist
3,Frimaire,frost
4,Nivôse,snowy
5,Pluviôse,rainy
6,Ventôse,windy
7,Germinal,germination
8,Floréal,flower
9,Prairial,meadow
10,Messidor,harvest
11,Thermidor,summer heat
12,Fructidor,fruit
13,Les Sans-culottides,Sansculottides
