7,7,Bouleau,Birch
7,8,Jonquille,Daffodil
7,9,Aulne,Alder
7,10,Couvoir,Hatchery
7,11,Pervenche,Periwinkle
7,12,Charme,Hornbeam
7,13,Morille,Morel
7,14,Hêtre,Beech Tree
7,15,Abeille,Bee
7,16,Laitue,Lettuce
7,17,Mélèze,Larch
7,18,Ciguë,Hemlock
7,19,Radis,Radish
7,20,Ruche,Hive
7,21,Gainier,Judas tree
7,22,Romaine,Romaine lettuce
7,23,Marronnier,Horse chestnut
7,24,Roquette,Arugula or Rocket
7,25,Pigeon,Pigeon
7,26,Lilas,Lilac
7,27,Anémone,Anemone
7,28,Pensée,Pansy
7,29,Myrtille,Bilberry
7,30,Greffoir,Knife
8,1,Rose,Rose
8,2,Chêne,Oak Tree
8,3,Fougère,Fern
8,4,Aubépine,Hawthorn
8,5,Rossignol,Nightingale
8,6,Ancolie,Common Columbine
8,7,Muguet,Lily of the valley
8,8,Champignon,Button mushroom
8,9,Hyacinthe,Hyacinth
8,10,Râteau,Rake
8,11,Rhubarbe,Rhubarb
8,12,Sainfoin,Sainfoin
8,13,Bâton d'or,Wallflower
8,14,Chamerisier,Fan Palm tree
8,15,Ver à soie,Silkworm
8,16,Consoude,Comfrey
8,17,Pimprenelle,Salad burnet
8,18,Corbeille d'or,Basket of Gold
8,19,Arroche,Orache
8,20,Sarcloir,Garden hoe
8,21,Statice,Thrift
8,22,Fritillaire,Fritillary
8,23,Bourrache,Borage
8,24,Valériane,Valerian
8,25,Carpe,Carp
8,26,Fusain,Spindle (shrub)
8,27,Civette,Chive
8,28,Buglosse,Bugloss
8,29,Sénevé,Wild mustard
8,30,Houlette,Shepherd's crook
9,1,Luzerne,Alfalfa
9,2,Hémérocalle,Daylily
9,3,Trèfle,Clover
9,4,Angélique,Angelica
9,5,Canard,Duck
9,6,Mélisse,Lemon balm
9,7,Fromental,Oat grass
9,8,Martagon,Martagon lily
9,9,Serpolet,Wild Thyme
9,10,Faux,Scythe
9,11,Fraise,Strawberry
9,12,Bétoine,Woundwort
9,13,Pois,Pea
9,14,Acacia,Acacia
9,15,Caille,Quail
9,16,Œillet,Carnation
9,17,Sureau,Elderberry
9,18,Pavot,Poppy plant
9,19,Tilleul,Linden or Lime tree
9,20,Fourche,Pitchfork
9,21,Barbeau,Cornflower
9,22,Camomille,Camomile
9,23,Chèvrefeuille,Honeysuckle
9,24,Caille-lait,Bedstraw
9,25,Tanche,Tench
9,26,Jasmin,Jasmine
9,27,Verveine,Verbena
9,28,Thym,Thyme
9,29,Pivoine,Peony
9,30,Chariot,Hand Cart
10,1,Seigle,Rye
10,2,Avoine,Oat
10,3,Oignon,Onion
10,4,Véronique,Speedwell
10,5,Mulet,Mule
10,6,Romarin,Rosemary
10,7,Concombre,Cucumber
10,8,Échalote,Shallot
10,9,Absinthe,Wormwood
10,10,Faucille,Sickle
10,11,Coriandre,Coriander
10,12,Artichaut,Artichoke
10,13,Girofle,Clove
10,14,Lavande,Lavender
10,15,Chamois,Chamois
10,16,Tabac,Tobacco
10,17,Groseille,Redcurrant
10,18,Gesse,Hairy Vetchling
10,19,Cerise,Cherry
10,20,Parc,Park
10,21,Menthe,Mint
10,22,Cumin,Cumin
10,23,Haricot,Bean
10,24,Orcanète,Alkanet
10,25,Pintade,Guinea fowl
10,26,Sauge,Sage Plant
10,27,Ail,Garlic
